City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,43.68,87,90,2.26,overcast clouds
1,Torrington,US,41.8007,-73.1212,94.41,43,90,1.99,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,42.12,70,100,9.75,overcast clouds
3,Vrangel,RU,42.7297,133.0839,54.79,83,13,4.92,few clouds
4,Vaini,TO,-21.2,-175.2,76.41,69,27,15.28,scattered clouds
5,Husavik,IS,66.0449,-17.3389,58.91,60,96,11.65,overcast clouds
6,Brindisi,IT,40.5833,17.6667,73.49,57,100,3.4,overcast clouds
7,Laguna,US,38.421,-121.4238,89.46,38,1,4.0,clear sky
8,Avera,US,33.194,-82.5271,91.71,41,100,4.47,overcast clouds
9,Clyde River,CA,70.4692,-68.5914,34.66,100,100,1.34,light rain
10,Pisco,PE,-13.7,-76.2167,66.02,81,6,10.2,clear sky
11,Ushuaia,AR,-54.8,-68.3,37.53,96,100,8.66,light rain
12,Tasiilaq,GL,65.6145,-37.6368,39.9,90,95,3.74,overcast clouds
13,Albany,US,42.6001,-73.9662,92.08,42,57,9.95,broken clouds
14,Hachinohe,JP,40.5,141.5,56.82,85,100,7.2,overcast clouds
15,Sandwick,GB,60.0,-1.25,53.42,82,75,9.86,broken clouds
16,Atuona,PF,-9.8,-139.0333,79.7,64,71,8.37,broken clouds
17,Noumea,NC,-22.2763,166.4572,71.01,99,97,6.49,overcast clouds
18,Bassar,TG,9.25,0.7833,81.93,59,97,4.34,overcast clouds
19,Hilo,US,19.7297,-155.09,80.28,76,27,3.0,light rain
20,Alofi,NU,-19.0595,-169.9187,76.35,59,56,12.01,broken clouds
21,Barranca,PE,-10.75,-77.7667,69.39,67,97,8.88,overcast clouds
22,Muroto,JP,33.2833,134.15,71.02,77,100,6.24,light rain
23,Cidreira,BR,-30.1811,-50.2056,63.41,79,100,10.76,moderate rain
24,Jamestown,US,42.097,-79.2353,84.29,62,31,9.82,scattered clouds
25,Mazamitla,MX,19.9167,-103.0333,78.66,31,100,2.37,overcast clouds
26,East London,ZA,-33.0153,27.9116,59.94,63,0,4.61,clear sky
27,Dingle,PH,10.9995,122.6711,75.67,87,100,2.21,light rain
28,Qaanaaq,GL,77.484,-69.3632,40.24,85,51,5.41,broken clouds
29,Port Elizabeth,ZA,-33.918,25.5701,64.09,76,0,3.44,clear sky
30,Vanimo,PG,-2.6741,141.3028,76.91,89,100,4.59,light rain
31,Bodden Town,KY,19.2833,-81.25,87.98,71,47,5.01,scattered clouds
32,Castro,BR,-24.7911,-50.0119,68.86,61,100,4.38,overcast clouds
33,Rikitea,PF,-23.1203,-134.9692,76.71,84,100,15.05,overcast clouds
34,Busselton,AU,-33.65,115.3333,49.08,74,0,7.99,clear sky
35,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,40,12.66,scattered clouds
36,Imelda,PH,7.65,123.95,77.32,85,98,3.6,overcast clouds
37,Avarua,CK,-21.2078,-159.775,71.65,73,75,8.05,broken clouds
38,Port Alfred,ZA,-33.5906,26.891,65.43,37,0,8.88,clear sky
39,Cape Town,ZA,-33.9258,18.4232,70.12,34,5,12.15,clear sky
40,Hobart,AU,-42.8794,147.3294,53.11,79,100,6.96,overcast clouds
41,Zyryanovsk,KZ,49.7386,84.2719,46.9,76,0,3.4,clear sky
42,Athabasca,CA,54.7169,-113.2854,66.61,42,100,12.48,overcast clouds
43,Hithadhoo,MV,-0.6,73.0833,83.17,74,9,14.0,clear sky
44,Cayenne,GF,4.9333,-52.3333,86.04,81,40,4.0,scattered clouds
45,Barrow,US,71.2906,-156.7887,30.22,93,90,13.8,mist
46,Khatanga,RU,71.9667,102.5,32.76,90,97,5.55,overcast clouds
47,Culasi,PH,11.4272,122.056,78.57,80,100,4.36,overcast clouds
48,Hermanus,ZA,-34.4187,19.2345,68.9,43,0,11.43,clear sky
49,San Vicente,AR,-26.6167,-54.1333,62.98,92,100,3.49,overcast clouds
50,Tiznit,MA,29.5833,-9.5,72.64,54,100,5.66,overcast clouds
51,Evensk,RU,61.95,159.2333,46.72,84,99,7.0,light rain
52,Saskylakh,RU,71.9167,114.0833,35.6,72,53,4.45,broken clouds
53,Yingcheng,CN,30.95,113.55,73.85,67,100,4.34,overcast clouds
54,Mahebourg,MU,-20.4081,57.7,75.49,78,20,9.22,few clouds
55,Yar-Sale,RU,66.8333,70.8333,36.48,74,37,11.32,scattered clouds
56,Sena Madureira,BR,-9.0656,-68.6569,90.3,50,80,2.26,broken clouds
57,Haines Junction,CA,60.7522,-137.5108,48.33,81,100,5.79,overcast clouds
58,Hami,CN,42.8,93.45,68.25,13,0,13.09,clear sky
59,Mar Del Plata,AR,-38.0023,-57.5575,57.99,58,75,4.61,broken clouds
60,Cedar Park,US,30.5052,-97.8203,88.61,67,90,1.99,overcast clouds
61,Thinadhoo,MV,0.5333,72.9333,83.21,74,21,12.35,few clouds
62,Talakan,RU,50.3167,130.3667,49.62,89,5,1.45,clear sky
63,Tansen,NP,27.8673,83.5467,68.54,63,19,5.35,few clouds
64,Bredasdorp,ZA,-34.5322,20.0403,59.74,33,6,6.35,clear sky
65,Port Hedland,AU,-20.3167,118.5667,71.65,60,89,5.75,overcast clouds
66,Georgetown,MY,5.4112,100.3354,80.89,88,20,1.34,few clouds
67,Iseyin,NG,7.9667,3.6,73.29,92,100,5.37,light rain
68,Airai,TL,-8.9266,125.4092,55.2,84,73,2.86,broken clouds
69,Beringovskiy,RU,63.05,179.3167,34.74,99,100,4.21,light rain
70,Pacific Grove,US,36.6177,-121.9166,74.25,74,40,5.01,scattered clouds
71,Hamilton,US,39.1834,-84.5333,84.34,68,57,1.01,broken clouds
72,Solvychegodsk,RU,61.3305,46.9156,64.06,58,96,4.41,overcast clouds
73,Norman Wells,CA,65.282,-126.8329,46.44,87,90,12.66,light rain
74,Tual,ID,-5.6667,132.75,80.78,79,100,13.8,overcast clouds
75,Tateyama,JP,34.9833,139.8667,70.02,92,100,8.79,overcast clouds
76,Pevek,RU,69.7008,170.3133,46.51,72,22,12.62,few clouds
77,Nome,US,64.5011,-165.4064,37.17,93,90,8.05,light rain
78,Namtsy,RU,62.7161,129.6658,51.91,51,100,2.17,overcast clouds
79,Adrar,MR,20.5022,-10.0711,105.26,9,94,13.38,overcast clouds
80,Hegang,CN,47.4,130.3667,49.51,88,0,3.47,clear sky
81,Mandalgovi,MN,45.7625,106.2708,48.11,76,7,22.97,clear sky
82,Puerto Ayora,EC,-0.7393,-90.3518,75.54,88,35,5.01,scattered clouds
83,Nikolskoye,RU,59.7035,30.7861,69.69,71,55,5.17,broken clouds
84,Torbay,CA,47.6666,-52.7314,47.28,95,90,17.27,overcast clouds
85,Resistencia,AR,-27.4606,-58.9839,66.25,79,90,12.66,overcast clouds
86,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,10.36,scattered clouds
87,Hovd,MN,48.0056,91.6419,46.99,41,7,5.95,clear sky
88,New Norfolk,AU,-42.7826,147.0587,52.75,82,100,1.99,overcast clouds
89,Porto Novo,BJ,6.4965,2.6036,80.17,78,100,7.76,overcast clouds
90,Jinka,ET,5.65,36.65,68.32,63,55,3.78,broken clouds
91,Sao Filipe,CV,14.8961,-24.4956,76.48,66,7,9.04,clear sky
92,Gimbi,ET,9.1667,35.8333,57.58,91,24,4.52,few clouds
93,Axim,GH,4.8699,-2.2405,80.13,79,7,9.28,clear sky
94,Butaritari,KI,3.0707,172.7902,81.81,73,25,4.97,light rain
95,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,61,12.97,light rain
96,Tura,IN,25.5198,90.2201,73.29,97,67,6.91,moderate rain
97,San Policarpo,PH,12.1791,125.5072,77.56,88,100,4.7,moderate rain
98,Chuy,UY,-33.6971,-53.4616,56.3,69,100,5.91,overcast clouds
99,Longyearbyen,SJ,78.2186,15.6401,31.46,91,16,5.12,few clouds
100,Faanui,PF,-16.4833,-151.75,80.74,74,18,10.92,few clouds
101,Yatou,CN,37.15,122.3833,68.59,66,100,5.91,overcast clouds
102,Kavaratti,IN,10.5669,72.642,82.85,75,100,10.8,overcast clouds
103,Ardakan,IR,32.31,54.0175,95.38,7,76,12.68,broken clouds
104,General Roca,AR,-39.0333,-67.5833,59.29,38,100,16.64,overcast clouds
105,Poing,DE,48.17,11.8186,62.62,91,100,1.01,light rain
106,Victoria,HK,22.2855,114.1577,82.33,85,44,1.01,scattered clouds
107,Bengkulu,ID,-3.8004,102.2655,74.12,91,83,4.63,broken clouds
