City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,76.41,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Laguna,US,89.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
16,Atuona,PF,79.7,broken clouds,-9.8,-139.0333,Villa Enata
18,Bassar,TG,81.93,overcast clouds,9.25,0.7833,RGG
19,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
20,Alofi,NU,76.35,broken clouds,-19.0595,-169.9187,Taloa Heights
24,Jamestown,US,84.29,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Mazamitla,MX,78.66,overcast clouds,19.9167,-103.0333,Monteverde Hotel de Cabañas
27,Dingle,PH,75.67,light rain,10.9995,122.6711,SEGAYA PROPERTY
30,Vanimo,PG,76.91,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
31,Bodden Town,KY,87.98,scattered clouds,19.2833,-81.25,Will T Place
33,Rikitea,PF,76.71,overcast clouds,-23.1203,-134.9692,Pension Maro'i
36,Imelda,PH,77.32,overcast clouds,7.65,123.95,
43,Hithadhoo,MV,83.17,clear sky,-0.6,73.0833,Scoop Guest House
44,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
47,Culasi,PH,78.57,overcast clouds,11.4272,122.056,LS Suites
54,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Cedar Park,US,88.61,overcast clouds,30.5052,-97.8203,La Quinta Inn & Suites by Wyndham Austin - Cedar Park
61,Thinadhoo,MV,83.21,few clouds,0.5333,72.9333,
66,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
71,Hamilton,US,84.34,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
74,Tual,ID,80.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
82,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Porto Novo,BJ,80.17,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
91,Sao Filipe,CV,76.48,clear sky,14.8961,-24.4956,Hotel Xaguate
93,Axim,GH,80.13,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
94,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
97,San Policarpo,PH,77.56,moderate rain,12.1791,125.5072,JM Lodge
100,Faanui,PF,80.74,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Kavaratti,IN,82.85,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
106,Victoria,HK,82.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
108,Bubaque,GW,79.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
122,Road Town,VG,86.09,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
140,Mancio Lima,BR,86.63,heavy intensity rain,-7.6142,-72.8958,Hotel e Distribuidora Voyage
143,Miracema Do Tocantins,BR,89.76,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
148,Kalmunai,LK,82.15,overcast clouds,7.4167,81.8167,VS Villa
151,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
154,San Carlos,VE,76.78,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
158,Estelle,US,78.01,heavy intensity rain,29.8458,-90.1067,Ohio
164,Kirakira,SB,79.16,overcast clouds,-10.4544,161.9205,SanBiz Lodge
167,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
168,Ratnagiri,IN,82.63,light rain,16.9833,73.3,Hotel Landmark
169,Ocampo,MX,76.28,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
177,Labuhan,ID,78.39,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
183,Ambulu,ID,75.6,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
186,Abu Dhabi,AE,89.33,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
189,Kutum,SD,84.34,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
190,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
199,Lastoursville,GA,76.46,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
202,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
204,La Asuncion,VE,81.34,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
206,Bandarbeyla,SO,80.58,clear sky,9.4942,50.8122,JABIR HOTEL
